ID,Code,Name,Hex,Handle,Updated
"gid://shopify/Metaobject/399785853276","M(40x25x25cm)","","","pantone-color-a66s9fhw","false"
"gid://shopify/Metaobject/399785886044","orange","Orange","#FFA500","pantone-color-uryskmz5","false"
"gid://shopify/Metaobject/399785918812","Orange","Orange","#FFA500","pantone-color-dnvbc9ej","false"
"gid://shopify/Metaobject/399785951580","pink","Rose","#FFC0CB","pantone-color-xk34vn9v","false"
"gid://shopify/Metaobject/399785984348","Pink","Rose","#FFC0CB","pantone-color-5sugb3j2","false"
"gid://shopify/Metaobject/399786049884","Plastique","","","pantone-color-nt8dbmft","false"
"gid://shopify/Metaobject/399786082652","Purple","Violet","#800080","pantone-color-pw0x0z3l","false"
"gid://shopify/Metaobject/399786115420","Red","Rouge","#FF0000","pantone-color-ycaxiuvd","false"
"gid://shopify/Metaobject/399786148188","S","","","pantone-color-knqq4x0d","false"
"gid://shopify/Metaobject/399786180956","Set","","","pantone-color-oohcheyk","false"
"gid://shopify/Metaobject/399786213724","Title","","","pantone-color-wkuhu2ux","false"
"gid://shopify/Metaobject/399786246492","transparent","","","pantone-color-z78lmh1m","false"
"gid://shopify/Metaobject/399786279260","UK","","","pantone-color-wtftfv9r","false"
"gid://shopify/Metaobject/399786312028","US","","","pantone-color-hkbbrweo","false"
"gid://shopify/Metaobject/399786344796","Variant","","","pantone-color-wvphbyzm","false"
"gid://shopify/Metaobject/399786377564","white","Blanc","#FFFFFF","pantone-color-n9jmifdp","false"
"gid://shopify/Metaobject/399786410332","White","Blanc","#FFFFFF","pantone-color-d7xcsrnl","false"
"gid://shopify/Metaobject/399786443100","WHITE","Blanc","#FFFFFF","pantone-color-smgksfvd","false"
"gid://shopify/Metaobject/399786475868","X1","","","pantone-color-ovug1a4q","false"
"gid://shopify/Metaobject/399786508636","XL","","","pantone-color-hxwapgmx","false"
"gid://shopify/Metaobject/399786639708","XS","","","pantone-color-syd4ki55","false"
"gid://shopify/Metaobject/399786672476","yellow","Jaune","#FFFF00","pantone-color-d3qjq7d0","false"
"gid://shopify/Metaobject/399786705244","Yellow","Jaune","#FFFF00","pantone-color-uoy5rope","false"
