code,name,hex
PANTONE 186 C,Red,#E2231A
PANTONE 354 C,Green,#00A651
PANTONE 300 C,Blue,#005EB8
PANTONE Process Black C,Black,#000000
PANTONE Cool Gray 1 C,White,#F1F2F2
