code,name,hex
PANTONE 186 C,Red,#E2231A
PANTONE 354 C,Green,#00A651
PANTONE 300 C,Blue,#005EB8
PANTONE Process Black C,Black,#000000
PANTONE Cool Gray 1 C,Light Gray,#F1F2F2
PANTONE Cool Gray 7 C,Medium Gray,#7F7B82
PANTONE Yellow C,Yellow,#FFED00
PANTONE Purple C,Purple,#7B3F98
PANTONE Orange 021 C,Orange,#FF6900
PANTONE 2995 C,Cyan,#00B7C3
PANTONE 219 C,Pink,#C51E54
PANTONE 468 C,Beige,#F5F5DC
PANTONE 469 C,Brown,#8B4513
PANTONE 877 C,Silver,#C0C0C0
PANTONE 871 C,Gold,#D4AF37
